Islands,Boats Arrived,Total Arrivals,Transfers to mainland,Total population,Month,Year,,,,,,,,,
Kos,2,77,107,991,January,2018,,,,,,,,,
Chios,2,124,556,1642,January,2018,,,,,,,,,
Samos,10,379,382,3935,January,2018,,,,,,,,,
Lesvos,18,876,1510,6860,January,2018,,,,,,,,,
Other,3,40,26,58,January,2018,,,,,,,,,
Leros,,,48,1187,January,2018,,,,,,,,,
Kos,6,240,59,944,February,2018,,,,,,,,,
Chios,2,47,266,1640,February,2018,,,,,,,,,
Samos,7,305,420,4238,February,2018,,,,,,,,,
Lesvos,13,495,380,7068,February,2018,,,,,,,,,
Other,2,61,6,66,February,2018,,,,,,,,,
Leros,,,21,1148,February,2018,,,,,,,,,
Kos,6,202,91,807,March,2018,,,,,,,,,
Chios,2,101,257,1548,March,2018,,,,,,,,,
Samos,11,538,171,4040,March,2018,,,,,,,,,
Lesvos,31,1402,515,7105,March,2018,,,,,,,,,
Other,9,170,11,71,March,2018,,,,,,,,,
Leros,,,30,1048,March,2018,,,,,,,,,
Kos,3,70,115,1650,April,2018,,,,,,,,,
Chios,14,553,295,1735,April,2018,,,,,,,,,
Samos,10,418,185,3377,April,2018,,,,,,,,,
Lesvos,43,1835,1254,7012,April,2018,,,,,,,,,
Other,8,233,16,57,April,2018,,,,,,,,,
Leros,,,39,1098,April,2018,,,,,,,,,
Kos,6,95,132,1135,May,2018,,,,,,,,,
Chios,10,402,331,1691,May,2018,,,,,,,,,
Samos,10,386,223,3358,May,2018,,,,,,,,,
Lesvos,36,1564,961,9336,May,2018,,,,,,,,,
Other,11,272,31,153,May,2018,,,,,,,,,
Leros,,,85,1016,May,2018,,,,,,,,,
Kos,12,152,66,1173,June,2018,,,,,,,,,
Chios,9,323,291,1940,June,2018,,,,,,,,,
Samos,20,822,333,3836,June,2018,,,,,,,,,
Lesvos,27,1039,840,9460,June,2018,,,,,,,,,
Other,8,150,71,108,June,2018,,,,,,,,,
Leros,,,90,1042,June,2018,,,,,,,,,
Kos,19,390,117,1277,July,2018,,,,,,,,,
Chios,16,555,498,2307,July,2018,,,,,,,,,
Samos,9,262,282,3841,July,2018,,,,,,,,,
Lesvos,33,1294,945,9738,July,2018,,,,,,,,,
Other,6,79,75,116,July,2018,,,,,,,,,
Leros,,,101,1005,July,2018,,,,,,,,,
Kos,26,571,144,1461,August,2018,,,,,,,,,
Chios,9,371,463,2383,August,2018,,,,,,,,,
Samos,15,468,330,3981,August,2018,,,,,,,,,
Lesvos,45,1726,1225,10281,August,2018,,,,,,,,,
Other,5,148,112,93,August,2018,,,,,,,,,
Leros,,,165,912,August,2018,,,,,,,,,
Kos,11,293,184,1454,September,2018,,,,,,,,,
Chios,13,410,325,2673,September,2018,,,,,,,,,
Samos,22,884,427,4078,September,2018,,,,,,,,,
Lesvos,46,1961,2279,10083,September,2018,,,,,,,,,
Other,12,363,75,113,September,2018,,,,,,,,,
Leros,,,142,927,September,2018,,,,,,,,,
Kos,11,204,168,1408,October,2018,,,,,,,,,
Chios,11,410,602,2612,October,2018,,,,,,,,,
Samos,42,1891,679,5252,October,2018,,,,,,,,,
Lesvos,38,1256,1603,9677,October,2018,,,,,,,,,
Other,15,339,67,113,October,2018,,,,,,,,,
Leros,,,104,1020,October,2018,,,,,,,,,
Kos,7,140,187,1234,November,2018,,,,,,,,,
Chios,5,135,797,1408,November,2018,,,,,,,,,
Samos,27,1045,1126,4100,November,2018,,,,,,,,,
Lesvos,13,448,1576,7943,November,2018,,,,,,,,,
Other,14,300,61,79,November,2018,,,,,,,,,
Leros,,,295,987,November,2018,,,,,,,,,
Kos,3,30,303,994,December,2018,,,,,,,,,
Chios,11,329,374,1519,December,2018,,,,,,,,,
Samos,26,1017,1090,3936,December,2018,,,,,,,,,
Lesvos,28,1073,2119,6950,December,2018,,,,,,,,,
Other,13,393,7,51,December,2018,,,,,,,,,
Leros,,,208,1165,December,2018,,,,,,,,,
Kos,5,107,139,1061,January,2019,,,,,,,,,
Chios,10,323,348,1717,January,2019,,,,,,,,,
Leros,9,382,266,1247,January,2019,,,,,,,,,
Samos,8,354,347,4068,January,2019,,,,,,,,,
Lesvos,19,670,1021,7119,January,2019,,,,,,,,,
Other,1,3,15,61,January,2019,,,,,,,,,
Kos,0,1,63,990,February,2019,,,,,,,,,
Chios,5,88,253,1741,February,2019,,,,,,,,,
Leros,2,58,98,1239,February,2019,,,,,,,,,
Samos,10,479,187,4295,February,2019,,,,,,,,,
Lesvos,20,791,839,7260,February,2019,,,,,,,,,
Other,5,67,2,89,February,2019,,,,,,,,,
Kos,2,34,159,936,March,2019,,,,,,,,,
Chios,5,151,418,1678,March,2019,,,,,,,,,
Leros,5,172,259,1213,March,2019,,,,,,,,,
Samos,14,606,820,4421,March,2019,,,,,,,,,
Lesvos,22,878,1175,7318,March,2019,,,,,,,,,
Other,6,76,5,71,March,2019,,,,,,,,,
Kos,11,361,92,1650,April,2019,,,,,,,,,
Chios,8,237,204,1736,April,2019,,,,,,,,,
Leros,4,158,127,1104,April,2019,,,,,,,,,
Samos,13,496,713,3969,April,2019,,,,,,,,,
Lesvos,17,363,759,7041,April,2019,,,,,,,,,
Other,7,244,2,81,April,2019,,,,,,,,,
Kos,13,305,49,1979,May,2019,,,,,,,,,
Chios,14,426,329,2042,May,2019,,,,,,,,,
Leros,7,217,145,1264,May,2019,,,,,,,,,
Samos,22,824,412,3587,May,2019,,,,,,,,,
Lesvos,18,504,1184,7037,May,2019,,,,,,,,,
Other,13,318,34,116,May,2019,,,,,,,,,
Kos,19,359,36,2123,June,2019,,,,,,,,,
Chios,10,276,257,2200,June,2019,,,,,,,,,
Leros,10,256,181,1366,June,2019,,,,,,,,,
Samos,13,465,272,3918,June,2019,,,,,,,,,
Lesvos,46,1622,750,7909,June,2019,,,,,,,,,
Other,12,189,70,94,June,2019,,,,,,,,,
Kos,28,599,118,2409,July,2019,,,,,,,,,
Chios,24,672,255,2609,July,2019,,,,,,,,,
Leros,17,417,270,2007,July,2019,,,,,,,,,
Samos,22,650,267,3775,July,2019,,,,,,,,,
Lesvos,67,2380,1100,9469,July,2019,,,,,,,,,
Other,19,374,50,115,July,2019,,,,,,,,,
Kos,29,819,280,2931,August,2019,,,,,,,,,
Chios,23,663,426,3091,August,2019,,,,,,,,,
Leros,13,395,262,1540,August,2019,,,,,,,,,
Samos,32,1280,382,4642,August,2019,,,,,,,,,
Lesvos,102,3894,1192,12494,August,2019,,,,,,,,,
Other,34,842,204,176,August,2019,,,,,,,,,
Kos,32,836,347,3833,September,2019,,,,,,,,,
Chios,43,1367,662,3945,September,2019,,,,,,,,,
Leros,14,462,386,1948,September,2019,,,,,,,,,
Samos,52,2093,814,6040,September,2019,,,,,,,,,
Lesvos,123,4809,3073,14861,September,2019,,,,,,,,,
Other,45,1170,117,126,September,2019,,,,,,,,,
Kos,29,775,498,4271,October,2019,,,,,,,,,
Chios,56,1827,547,5331,October,2019,,,,,,,,,
Leros,20,738,574,2514,October,2019,,,,,,,,,
Samos,39,1496,1112,6458,October,2019,,,,,,,,,
Lesvos,88,3375,1743,17010,October,2019,,,,,,,,,
Other,38,1040,484,259,October,2019,,,,,,,,,
Kos,17,459,380,4457,November,2019,,,,,,,,,
Chios,37,1253,916,6067,November,2019,,,,,,,,,
Leros,11,321,784,2672,November,2019,,,,,,,,,
Samos,42,1698,549,7741,November,2019,,,,,,,,,
Lesvos,108,4130,2872,19080,November,2019,,,,,,,,,
Other,25,692,463,311,November,2019,,,,,,,,,
Kos,12,260,322,4335,December,2019,,,,,,,,,
Chios,18,651,421,6216,December,2019,,,,,,,,,
Leros,11,382,287,2719,December,2019,,,,,,,,,
Samos,19,838,377,7979,December,2019,,,,,,,,,
Lesvos,80,2959,1349,20949,December,2019,,,,,,,,,
Other,13,270,180,228,December,2019,,,,,,,,,
